date,county,age,count
2020-04-13,Muscatine,41-60,3
2020-04-13,Muscatine,61-80,1
2020-04-13,Polk,18-40,5
2020-04-13,Polk,41-60,5
2020-04-13,Polk,61-80,4
2020-04-13,Polk,81+,1
2020-04-13,Scott,18-40,1
2020-04-13,Scott,61-80,2
2020-04-13,Story,18-40,1
2020-04-13,Tama,18-40,4
2020-04-13,Tama,41-60,6
2020-04-13,Tama,61-80,1
2020-04-13,Tama,81+,4
2020-04-13,Van Buren,41-60,2
2020-04-13,Wapello,41-60,2
2020-04-13,Washington,18-40,1
2020-04-13,Washington,41-60,5
2020-04-13,Washington,61-80,2
2020-04-13,Woodbury,41-60,1
